reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
11,30,7,7,3,52,0,148.21811440004967,,148.20411579997744,148.21811440004967,149.21798399998806,149.21798399998806,149.21798399998806,149.92009939998388,l,0.7000474999658763,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,7,4,53,2,149.9350019999547,,149.92143530002795,149.9350019999547,150.93455320002977,150.93455320002977,150.93455320002977,151.58626320003532,l,0.6453061000211164,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
40,55,62,7,5,54,3,151.60141869995277,,151.5874489999842,151.60141869995277,152.60137349995784,152.60137349995784,152.60137349995784,153.85289229999762,t,1.2453813999891281,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
15,35,43,7,6,55,1,153.86806110001635,,153.85386160004418,153.86806110001635,154.8677906000521,154.8677906000521,154.8677906000521,156.13673639995977,t,1.2629092999268323,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
49,60,89,8,0,56,4,156.1511443000054,,156.13803030003328,156.1511443000054,157.1512693000259,157.1512693000259,157.1512693000259,157.7696071000537,t,0.6150956999044865,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
78,80,162,8,1,57,6,157.7860340999905,,157.77132219995838,157.7860340999905,158.7847331999801,158.7847331999801,158.80124209995847,159.25338710006326,t,0.45969250006601214,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,8,2,58,2,159.26804680004716,,159.25461659999564,159.26804680004716,160.26792859996203,160.26792859996203,160.26792859996203,160.8697921000421,l,0.596202899934724,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
40,55,62,8,3,59,3,160.88467259996105,,160.87084890005644,160.88467259996105,161.88456060003955,161.88456060003955,161.88456060003955,162.33628309995402,t,0.44760189997032285,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
11,30,7,8,4,60,0,162.35113750002347,,162.3374125000555,162.35113750002347,163.3512550999876,163.3512550999876,163.3512550999876,163.8196758000413,l,0.4548040999798104,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
15,35,43,8,5,61,1,163.83454029995482,,163.8208217000356,163.83454029995482,164.83457019994967,164.83457019994967,164.83457019994967,165.36966259998735,t,0.5280712000094354,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
67,75,119,8,6,62,5,165.3845534999855,,165.37070890003815,165.3845534999855,166.38443039997946,166.38443039997946,166.38443039997946,167.03748109994922,t,0.6499790999805555,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,9,0,63,2,167.0514056000393,,167.03840099996887,167.0514056000393,168.05113979999442,168.05113979999442,168.05113979999442,168.5860585999908,l,0.5199891999363899,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
11,30,7,9,1,64,0,168.60100050002802,,168.58721220004372,168.60100050002802,169.60110099997837,169.60110099997837,169.60110099997837,170.0372010000283,l,0.4296262999996543,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
49,60,89,9,2,65,4,170.0514409999596,,170.03820569999516,170.0514409999596,171.0510608999757,171.0510608999757,171.0510608999757,171.5191552999895,t,0.4511435000458732,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
40,55,62,9,3,66,3,171.53432710003108,,171.5204851999879,171.53432710003108,172.53443550004158,172.53443550004158,172.53443550004158,172.8694031999912,t,0.3185596999246627,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
78,80,162,9,4,67,6,172.8843531999737,,172.87060150003526,172.8843531999737,173.88426520000212,173.88426520000212,173.88426520000212,174.30289429996628,t,0.41698139999061823,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
15,35,43,9,5,68,1,174.3176214999985,,174.30373499996495,174.3176214999985,175.31772980000824,175.31772980000824,175.31772980000824,175.80265920003876,t,0.46906579995993525,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
67,75,119,9,6,69,5,175.81762760004494,,175.80376160005108,175.81762760004494,176.81775919999927,176.81775919999927,176.81775919999927,177.21947929996531,t,0.39446720003616065,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
15,35,43,10,0,70,1,177.2344428000506,,177.22093559999485,177.2344428000506,178.23420910001732,178.23420910001732,178.23420910001732,178.65253369999118,t,0.40155830001458526,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
40,55,62,10,1,71,3,178.6675711000571,,178.6540511000203,178.6675711000571,179.66748820000794,179.66748820000794,179.66748820000794,180.1031510999892,t,0.4219250000314787,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
67,75,119,10,2,72,5,180.12140900001395,,180.10465280001517,180.12140900001395,181.1177041999763,181.1177041999763,181.13424759998452,181.635496999952,t,0.5105120000662282,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
49,60,89,10,3,73,4,181.65087050001603,,181.6365515999496,181.65087050001603,182.65103389997967,182.65103389997967,182.65103389997967,183.2357398000313,t,0.5708417999558151,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
11,30,7,10,4,74,0,183.25088760000654,,183.23699919995852,183.25088760000654,184.25066739995964,184.25066739995964,184.25066739995964,184.55270879995078,t,0.28712290001567453,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
78,80,162,10,5,75,6,184.56743279995862,,184.5538847000571,184.56743279995862,185.56769090006128,185.56769090006128,185.56769090006128,186.33592109999154,t,0.7559719999553636,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,10,6,76,2,186.3507134000538,,186.33707700006198,186.3507134000538,187.35084149998147,187.35084149998147,187.35084149998147,187.86961309995968,l,0.5161258999723941,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
40,55,62,11,0,77,3,187.88397500000428,,187.87105249997694,187.88397500000428,188.8840513000032,188.8840513000032,188.8840513000032,189.50285749998875,l,0.606242400011979,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
67,75,119,11,1,78,5,189.5174767000135,,189.50413580005988,189.5174767000135,190.5175330999773,190.5175330999773,190.5175330999773,191.01945899997372,t,0.4862009999342263,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
11,30,7,11,2,79,0,191.03394480003044,,191.02112869999837,191.03394480003044,192.03401719999965,192.03401719999965,192.03401719999965,192.68574019998778,l,0.6353590999497101,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
49,60,89,11,3,80,4,192.70077330002096,,192.68685790000018,192.70077330002096,193.7008248999482,193.7008248999482,193.7008248999482,194.25277699995786,t,0.5437624000478536,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,11,4,81,2,194.26734240003861,,194.25382670003455,194.26734240003861,195.26739349996205,195.26739349996205,195.26739349996205,195.78574179997668,l,0.50267580000218,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
15,35,43,11,5,82,1,195.80066880001687,,195.78683250001632,195.80066880001687,196.80079150001984,196.80079150001984,196.80079150001984,197.3194511999609,t,0.5069625000469387,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
78,80,162,11,6,83,6,197.3338425999973,,197.3207156000426,197.3338425999973,198.33397619996686,198.33397619996686,198.33397619996686,198.66856530006044,t,0.31984160002321005,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
67,75,119,12,0,84,5,198.6839089000132,,198.66944770002738,198.6839089000132,199.683726200019,199.683726200019,199.683726200019,199.97009570000228,t,0.2736155000748113,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
49,60,89,12,1,85,4,199.9864425000269,,199.97166320006363,199.9864425000269,200.98411429999396,200.98411429999396,201.00048309995327,201.41983360005543,t,0.43320830003358424,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
40,55,62,12,2,86,3,201.4341191999847,,201.42179130006116,201.4341191999847,202.4339473999571,202.4339473999571,202.4339473999571,202.7192928000586,t,0.27287880005314946,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
15,35,43,12,3,87,1,202.73370630003046,,202.7206862999592,202.73370630003046,203.734000400058,203.734000400058,203.734000400058,204.05263259995263,t,0.3042896999977529,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
11,30,7,12,4,88,0,204.06710420001764,,204.05389540002216,204.06710420001764,205.0673117999686,205.0673117999686,205.0673117999686,205.56902289995924,l,0.49182110000401735,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,12,5,89,2,205.5835633999668,,205.57014500000514,205.5835633999668,206.58367139997426,206.58367139997426,206.58367139997426,207.25232239998877,l,0.6543716000160202,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
78,80,162,12,6,90,6,207.2671229999978,,207.2538121000398,207.2671229999978,208.2672748999903,208.2672748999903,208.2672748999903,209.00193370005582,t,0.7201082999818027,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
40,55,62,13,0,91,3,209.01698910002597,,209.00305930001196,209.01698910002597,210.0173198999837,210.0173198999837,210.0173198999837,210.6355479999911,t,0.6066932999528944,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
78,80,162,13,1,92,6,210.650491300039,,210.63683730002958,210.650491300039,211.65050980006345,211.65050980006345,211.65050980006345,212.25230379996356,t,0.5927542999852449,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
11,30,7,13,2,93,0,212.26720030000433,,212.25337849999778,212.26720030000433,213.26715610001702,213.26715610001702,213.26715610001702,214.0352995999856,l,0.7578240999719128,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
49,60,89,13,3,94,4,214.05031129997224,,214.03659559995867,214.05031129997224,215.05045690003317,215.05045690003317,215.05045690003317,216.20216780004557,t,1.1349170999601483,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
15,35,43,13,4,95,1,216.21702990005724,,216.20342090004124,216.21702990005724,217.21706090006046,217.21706090006046,217.21706090006046,217.80231689999346,t,0.5759326000697911,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,13,5,96,2,217.8169214000227,,217.80343410000205,217.8169214000227,218.81714970001485,218.81714970001485,218.81714970001485,219.41904770000838,l,0.5971404999727383,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
67,75,119,13,6,97,5,219.43355590000283,,219.42027100000996,219.43355590000283,220.43372680002358,220.43372680002358,220.43372680002358,221.1353743999498,t,0.6844385999720544,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
40,55,62,14,0,98,3,221.15023210004438,,221.13686289999168,221.15023210004438,222.15038939996157,222.15038939996157,222.15038939996157,222.68524250003975,t,0.5223744000541046,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
15,35,43,14,1,99,1,222.700317800045,,222.68636709998827,222.700317800045,223.70035249996,223.70035249996,223.70035249996,224.16876879998017,t,0.4647874999791384,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
67,75,119,14,2,100,5,224.18355249997694,,224.1699211000232,224.18355249997694,225.1835965999635,225.1835965999635,225.1835965999635,226.0359406999778,t,0.8486416999949142,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
78,80,162,14,3,101,6,226.05019820004236,,226.037191899959,226.05019820004236,227.05002620001324,227.05002620001324,227.05002620001324,227.5855529999826,t,0.5256439000368118,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
49,60,89,14,4,102,4,227.60013859998435,,227.58662840002216,227.60013859998435,228.60019939998165,228.60019939998165,228.60019939998165,229.0367344999686,t,0.43372490000911057,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,14,5,103,2,229.05148360005114,,229.03820970002562,229.05148360005114,230.05015010002535,230.05015010002535,230.06664179998916,231.26861629995983,l,1.2020018000621349,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
11,30,7,14,6,104,0,231.28347210003994,,231.2697068999987,231.28347210003994,232.2835651000496,232.2835651000496,232.2835651000496,232.96884620003402,t,0.6749462999869138,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
